station;latitude;longitude
Brzezie nad Odrą;50.076;18.2567
Brzeziniec;50.994450231944796;15.400096512818322
Brzezinka Średzka;51.2;16.834444444
Brzeziny;50.77594547146676;20.566855324871472
Brzeziny Śląskie;50.356;18.9832
Brześć Kujawski;50.5;20.53
Brzeźnica;49.96735154182753;19.628209034608727
Brzeźnica (powiat złotowski)(stacja kolejowa);53.43899999999999;16.6972
Brzeźnica Bychawska (przystanek kolejowy);51.526;22.7392
Brzeźnica nad Wartą;51.071999999999996;19.1464
Brzeźno;51.156204202995404;23.61681662257723
Brzeźno Człuchowskie;53.670894766157886;17.482066324537968
Brzeźno Mazurskie;53.39083333;20.091388888
Brzostków (przystanek kolejowy);52.09730510000001;17.57318972
Brzoza Bydgoska;53.02831696987288;18.01924970794986
Brzoza Toruńska;52.96307727571361;18.683953163089853
Brzozowica;51.953;22.6225
Brzozowica ;51.953743936592815;22.60835714850266
Brzozowiec;52.6531494524334;15.367749804681482
Brzozowiec Gorzowski;52.653;15.3675
Brzuchowo;53.54660888518414;17.77121044389124
Brzuchowo (przystanek kolejowy);53.547;17.7722
Brzustowa Opatowska;50.898;21.4839
Brzustów;51.4936187626224;20.146710892499502
Brzózka Krośnieńska;51.99872;15.029799
Brzózki;52.10489629187784;20.677800038720367
Buchacz;50.38139;18.905836
Buchałów;51.91681907585009;15.362432513149841
Bucze;52.277;15.3594
Buczek;51.146;17.9584
Buczyny (przystanek kolejowy);51.60947;14.781511
Budachów;52.153149681154154;15.081251849288636
Budki Nowe;52.24442650906264;18.564224427158376
Budowo (stacja kolejowa);54.318000000000005;17.3864
Budry (stacja kolejowa);54.245;21.8947
Budy Głogowskie;50.16993792326208;21.91577606172465
Budziechów (przystanek kolejowy);51.769459999999995;14.986136
Budzieszowce;53.513999999999996;14.9847
Budzieszowice;50.52243937203378;17.532649744284
Budzieszowice (przystanek kolejowy);50.52288;17.533655
Budziszów;50.924;16.9119
Budzisław Kościelny (stacja kolejowa);52.434;18.0853
Budziwojów;51.231;15.9314
Budzyń;52.894124705780584;16.966133441593232
Bugaj (przystanek kolejowy);50.295;20.5761
Bugaj Piotrkowski;51.388999999999996;19.6836
Bujaki;53.466;20.3758
Buk;52.34349001083209;16.52069223962575
Buk Kamieński;53.77;14.9441
Buk Pomorski (stacja kolejowa);53.437;19.1486
Buk Szczeciński;53.507;14.3585
Bukowa;50.85950015467439;20.200256925032736
Bukowa Śląska;51.101000000000006;17.8248
